prior_family,model,block,index,feature,prior_mean,prior_variance
Joint Modified TD,q_td_modify_joint,eta,0,eta_intercept,0.24398773785415945,0.027452818036489926
Joint Modified TD,q_td_modify_joint,eta,1,eta_E_w,0.010654268088537975,0.01586656580852254
Joint Modified TD,q_td_modify_joint,eta,2,eta_b_hat,0.40126588539221936,0.03393772407711112
Joint Modified TD,q_td_modify_joint,eta,3,eta_b_tilde,0.0,1.000000000011437e-06
Joint Modified TD,q_td_modify_joint,beta,4,beta_intercept,0.19791545922569925,0.021973696368905275
Joint Modified TD,q_td_modify_joint,beta,5,beta_weekday_vs_weekend,-0.2591418714593703,0.00145920761851005
Joint Modified TD,q_td_modify_joint,beta,6,beta_slot_pm,0.03432018651985918,0.0014671990230137853
Joint Modified TD,q_td_modify_joint,beta,7,beta_E_w,0.01157751333272937,0.010299379473884249
Joint Modified TD,q_td_modify_joint,beta,8,beta_weekday_vs_weekend*E_w,0.006196444289806178,0.0011010520372896895
Joint Modified TD,q_td_modify_joint,beta,9,beta_slot_pm*E_w,-0.0020413965724065614,0.0001718968368645896
Joint Modified TD,q_td_modify_joint,beta,10,beta_b_hat,0.5317217893377939,0.022868782960531797
Joint Modified TD,q_td_modify_joint,beta,11,beta_weekday_vs_weekend*b_hat,0.38246914955057726,0.002954164127930957
Joint Modified TD,q_td_modify_joint,beta,12,beta_slot_pm*b_hat,0.060032297063700245,0.0005943214886555154
Joint Modified TD,q_td_modify_joint,beta,13,beta_b_tilde,0.0,1.000000000011437e-06
Joint Modified TD,q_td_modify_joint,beta,14,beta_M_Y_day1_fourSC_morning,-0.0012030226637008109,0.002016987884099113
Joint Modified TD,q_td_modify_joint,beta,15,beta_M_Y_day1_fourSC_afternoon,0.0027386462528623413,0.001054418118236605
Joint Modified TD,q_td_modify_joint,beta,16,beta_M_Y_day1_anticipated_affect,0.20450494744830436,0.004566386363423015
Joint Modified TD,q_td_modify_joint,beta,17,beta_M_Y_day2_fourSC_morning,0.029077322953307578,0.0009656337955211707
Joint Modified TD,q_td_modify_joint,beta,18,beta_M_Y_day2_fourSC_afternoon,-0.0074650150676546,0.0021760594788456985
