prior_family,model,block,index,feature,prior_mean,prior_variance
Joint Modified TD,q_td_modify_joint,eta,0,eta_intercept,0.6258747041305533,0.1724042293592542
Joint Modified TD,q_td_modify_joint,eta,1,eta_E_w,-0.008019613691206155,0.07676546811431964
Joint Modified TD,q_td_modify_joint,eta,2,eta_b_hat,-0.5029758533533816,0.07709688646285227
Joint Modified TD,q_td_modify_joint,eta,3,eta_b_tilde,0.0,1.000001
Joint Modified TD,q_td_modify_joint,beta,4,beta_intercept,0.572089687766214,0.11716536002409142
Joint Modified TD,q_td_modify_joint,beta,5,beta_weekday_vs_weekend,-0.09151674609690351,0.2112559852674275
Joint Modified TD,q_td_modify_joint,beta,6,beta_slot_pm,0.09451837754649657,0.004544894639403925
Joint Modified TD,q_td_modify_joint,beta,7,beta_E_w,-0.0014181601628125466,0.058372174390962574
Joint Modified TD,q_td_modify_joint,beta,8,beta_b_hat,-0.04082606350119531,0.041384329983542585
Joint Modified TD,q_td_modify_joint,beta,9,beta_b_tilde,0.0,1.000001
Joint Modified TD,q_td_modify_joint,beta,10,beta_M_Y_anticipated_affect_ewma,0.7119165239456424,0.023900274934325196
Joint Modified TD,q_td_modify_joint,beta,11,beta_M_Y_fourSC_ewma,-0.007089066560455912,0.010320110058265377
Joint Modified TD,q_td_modify_joint,beta,12,beta_M_E_pageview_ewma,0.008954569633051516,0.0009622442105851172
Joint Modified TD,q_td_modify_joint,beta,13,beta_M_E_fitbit_wear_ewma,-0.3428793287990962,0.0061772320562935995
Joint Modified TD,q_td_modify_joint,beta,14,beta_M_E_survey_complete_ewma,-0.04378555567350577,0.007097781086898206
Joint Modified TD,q_td_modify_joint,beta,15,beta_yesterday_step_count,0.005910204740769694,0.002106839395643037
Joint Modified TD,q_td_modify_joint,beta,16,beta_prior2hour_step_count,-0.007860631889966992,0.0007952368783821094
Joint Modified TD,q_td_modify_joint,beta,17,beta_active_status_fraction_7days,-0.016537365872555766,0.02991232574828128
Joint Modified TD,q_td_modify_joint,beta,18,beta_recent_burden,-0.0045735573991151956,0.0018938935465966928
Joint Modified TD,q_td_modify_joint,beta,19,beta_walk_interaction_7d,0.004352597063285604,0.010320102392939273
Joint Modified TD,q_td_modify_joint,beta,20,beta_A,0.010736504747865435,0.002804550964184102
Joint Modified TD,q_td_modify_joint,beta,21,beta_A*E_w,-0.0008265912216485308,0.0020891085672460775
Joint Modified TD,q_td_modify_joint,beta,22,beta_A*b_hat,-0.07073367704698041,0.003057325301393172
Joint Modified TD,q_td_modify_joint,beta,23,beta_A*b_tilde,0.0,1.000001
Joint Modified TD,q_td_modify_joint,beta,24,beta_A*yesterday_step_count,-0.004032134424445791,0.004001808325786376
Joint Modified TD,q_td_modify_joint,beta,25,beta_A*prior2hour_step_count,0.0012567309096390264,0.0016106679139947467
Joint Modified TD,q_td_modify_joint,beta,26,beta_A*active_status_fraction_7days,-0.0018128873510645154,0.0027143860628621114
Joint Modified TD,q_td_modify_joint,beta,27,beta_A*recent_burden,-0.002120109437553291,0.0022033546788703894
Joint Modified TD,q_td_modify_joint,beta,28,beta_A*walk_interaction_7d,0.012965806623015668,0.0027350564851189815
Joint Modified TD,q_td_modify_joint,beta,29,beta_A*weekday_vs_weekend,-0.0020509436059883168,0.006244381062520994
Joint Modified TD,q_td_modify_joint,beta,30,beta_A*slot_pm,-0.009896959409608753,0.0032842898830373443
