prior_family,model,block,index,feature,prior_mean,prior_variance
RL,q_no_td_modify,beta,0,intercept,0.11367510950801062,0.08499725866943467
RL,q_no_td_modify,beta,1,weekday_vs_weekend,-0.07109258492884975,0.10245639740581473
RL,q_no_td_modify,beta,2,slot_pm,-0.008039073291437241,0.0024400470351678377
RL,q_no_td_modify,beta,3,E_w,0.020835080201493026,0.03966374263745128
RL,q_no_td_modify,beta,4,b_hat,1.1495820130350785,0.03759368954388532
RL,q_no_td_modify,beta,5,b_tilde,0.0,1.0
RL,q_no_td_modify,beta,6,M_Y_anticipated_affect_ewma,0.29174378238517984,0.010066650209527852
RL,q_no_td_modify,beta,7,M_Y_fourSC_ewma,-0.024195509334343685,0.006827570553149037
RL,q_no_td_modify,beta,8,M_E_pageview_ewma,0.0013495174230271966,0.00022753089897262918
RL,q_no_td_modify,beta,9,M_E_fitbit_wear_ewma,-0.13262789262102284,0.004399417262975323
RL,q_no_td_modify,beta,10,M_E_survey_complete_ewma,-0.04052008976139403,0.004034030990382147
RL,q_no_td_modify,beta,11,yesterday_step_count,-0.005486248869205522,0.0015918741663732455
RL,q_no_td_modify,beta,12,prior2hour_step_count,-0.009700116252300666,0.0007507777396171907
RL,q_no_td_modify,beta,13,active_status_fraction_7days,0.006991895073832376,0.024484801638811386
RL,q_no_td_modify,beta,14,recent_burden,-0.0111899558628003,0.002336887480086211
RL,q_no_td_modify,beta,15,walk_interaction_7d,-0.06541516871876872,0.026574234680330336
RL,q_no_td_modify,beta,16,A,0.0020522560284334753,0.0012548708026437069
RL,q_no_td_modify,beta,17,A*E_w,0.0020544200103667716,0.001100044999229684
RL,q_no_td_modify,beta,18,A*b_hat,0.00022974480322633087,0.00223915931068417
RL,q_no_td_modify,beta,19,A*b_tilde,0.0,1.0
RL,q_no_td_modify,beta,20,A*yesterday_step_count,-0.003479489968265749,0.0034086907624675308
RL,q_no_td_modify,beta,21,A*prior2hour_step_count,0.0060491790949684715,0.0012727234652507556
RL,q_no_td_modify,beta,22,A*active_status_fraction_7days,-0.012574002109380426,0.0013458063643598296
RL,q_no_td_modify,beta,23,A*recent_burden,-0.003053129548876794,0.0009839998247319361
RL,q_no_td_modify,beta,24,A*walk_interaction_7d,-0.004082830206612313,0.0022058482035641233
RL,q_no_td_modify,beta,25,A*weekday_vs_weekend,0.04021222302861542,0.004830214351916602
RL,q_no_td_modify,beta,26,A*slot_pm,0.008673870459530827,0.0018471026444539047
