prior_family,model,block,index,feature,prior_mean,prior_variance
RL,reward_shaping,eta,0,intercept,-0.0359889865313692,0.03018419137781664
RL,reward_shaping,eta,1,weekday_vs_weekend,-0.005998164421498043,0.0008384497604942547
RL,reward_shaping,eta,2,slot_pm,-0.017994493265683174,0.007546047844453025
RL,reward_shaping,eta,3,E_w,0.06756216644369567,0.003159985554805133
RL,reward_shaping,eta,4,b_hat,0.06783726713736234,0.030268073559653445
RL,reward_shaping,eta,5,b_tilde,0.0,1.0
RL,reward_shaping,eta,6,M_Y_anticipated_affect_ewma,0.07887964019605596,0.010501459468537611
RL,reward_shaping,eta,7,M_Y_fourSC_ewma,0.012711258056861909,0.0218563546596331
RL,reward_shaping,eta,8,M_E_pageview_ewma,-0.005173747769043801,0.004223029783011183
RL,reward_shaping,eta,9,M_E_fitbit_wear_ewma,-0.007982195457612126,0.005312462919043736
RL,reward_shaping,eta,10,M_E_survey_complete_ewma,-0.0003704285359093536,0.011360736012930655
RL,reward_shaping,eta,11,yesterday_step_count,0.0006888027013598464,0.013522262689664907
RL,reward_shaping,eta,12,prior2hour_step_count,-0.02188691956734473,0.005554279452077375
RL,reward_shaping,eta,13,active_status_fraction_7days,0.006800483116000036,0.034554975050099905
RL,reward_shaping,eta,14,recent_burden,-0.00013251240607907986,0.003090559287817126
RL,reward_shaping,eta,15,walk_interaction_7d,0.01657251728396267,0.037141238681795835
