prior_family,model,block,index,feature,prior_mean,prior_variance
RL,reward_shaping,eta,0,intercept,-0.0359889865313692,0.03018419137781664
RL,reward_shaping,eta,1,weekday_vs_weekend,-0.005998164421498043,0.0008384497604942547
RL,reward_shaping,eta,2,slot_pm,-0.017994493265683174,0.007546047844453025
RL,reward_shaping,eta,3,E_w,0.06756216644369567,0.003159985554805133
RL,reward_shaping,eta,4,b_hat,0.06783726713736234,0.030268073559653445
RL,reward_shaping,eta,5,b_tilde,0.0,1.0
RL,reward_shaping,eta,6,M_Y_anticipated_affect_ewma,0.07887964019605596,0.010501459468537611
RL,reward_shaping,eta,7,M_Y_fourSC_ewma,0.012711258056861909,0.0218563546596331
RL,reward_shaping,eta,8,M_E_pageview_ewma,-0.005173747769043801,0.004223029783011183
RL,reward_shaping,eta,9,M_E_fitbit_wear_ewma,-0.007982195457612126,0.005312462919043736
RL,reward_shaping,eta,10,M_E_survey_complete_ewma,-0.0003704285359093536,0.011360736012930655
RL,reward_shaping,eta,11,yesterday_step_count,0.0006888027013598464,0.013522262689664907
RL,reward_shaping,eta,12,prior2hour_step_count,-0.02188691956734473,0.005554279452077375
RL,reward_shaping,eta,13,active_status_fraction_7days,0.006800483116000036,0.034554975050099905
RL,reward_shaping,eta,14,recent_burden,-0.00013251240607907986,0.003090559287817126
RL,reward_shaping,eta,15,walk_interaction_7d,0.01657251728396267,0.037141238681795835
RL,redistribution_stage1_AA,eta,0,intercept,0.22296924560097603,0.007320468090380849
RL,redistribution_stage1_AA,eta,1,E_w,0.0013768292316173193,0.001125643762791734
RL,redistribution_stage1_AA,eta,2,b_hat,0.08430383402862346,0.002501605538604613
RL,redistribution_stage1_AA,eta,3,b_tilde,0.0,1.0
RL,redistribution_stage1_AA,eta,4,M_Y_anticipated_affect_ewma,0.1743617557140203,0.0019354485642897243
RL,redistribution_stage1_AA,eta,5,M_Y_fourSC_ewma,-0.011468933548692228,0.002821529172868248
RL,redistribution_stage1_AA,eta,6,M_E_pageview_ewma,0.013249248782883267,0.0005493750402631512
RL,redistribution_stage1_AA,eta,7,M_E_fitbit_wear_ewma,-0.03348297137227714,0.0014235749726433566
RL,redistribution_stage1_AA,eta,8,M_E_survey_complete_ewma,-0.027182039517576702,0.0015948881549117946
RL,redistribution_stage1_AA,eta,9,yesterday_step_count,0.007296671746911247,0.00021573405438849501
RL,redistribution_stage1_AA,eta,10,prior2hour_step_count,0.010347566310866968,0.0004781031743429326
RL,redistribution_stage1_AA,eta,11,active_status_fraction_7days,0.02595760029945487,0.004647698297789028
RL,redistribution_stage1_AA,eta,12,recent_burden,0.00033621950257769394,0.00011821958325545881
RL,redistribution_stage1_AA,eta,13,walk_interaction_7d,-0.003652360194957189,0.0029315045997239083
RL,redistribution_stage1_AA,eta,14,A,0.004928255125564195,0.0013888293192336903
RL,redistribution_stage1_AA,eta,15,A*E_w,4.743482113544935e-05,0.0004204749248979205
RL,redistribution_stage1_AA,eta,16,A*b_hat,-0.00745129819301583,0.0021342700328342845
RL,redistribution_stage1_AA,eta,17,A*b_tilde,0.0,1.0
RL,redistribution_stage1_AA,eta,18,A*yesterday_step_count,-0.000406104501541144,0.0005817707020448765
RL,redistribution_stage1_AA,eta,19,A*prior2hour_step_count,0.008619887375016932,0.0004824366049316266
RL,redistribution_stage1_AA,eta,20,A*active_status_fraction_7days,-0.008784081540735967,0.002604097452522337
RL,redistribution_stage1_AA,eta,21,A*recent_burden,0.003155809713737795,0.00029664016699521646
RL,redistribution_stage1_AA,eta,22,A*walk_interaction_7d,-0.0007552923027283695,0.0008416551635056823
RL,redistribution_stage1_AA,eta,23,A*slot_pm,0.012964087645456287,0.001697064822252548
RL,redistribution_stage1_FW,eta,0,intercept,0.363060755363364,0.02451882533846026
RL,redistribution_stage1_FW,eta,1,E_w,0.006563296073243446,0.005689082532106447
RL,redistribution_stage1_FW,eta,2,b_hat,0.0010319003027649202,0.008941956532085333
RL,redistribution_stage1_FW,eta,3,b_tilde,0.0,1.0
RL,redistribution_stage1_FW,eta,4,M_Y_anticipated_affect_ewma,-0.1238107925439705,0.027768828727264064
