model,outcome,index,feature,coefficient,identified,feature_std,std_error,t_stat,p_value,significant_0.05,significant_0.01,n_obs,n_features,ridge_alpha,residual_sigma2
fourSC,4hour_step_norm,0,intercept,-0.06415454996299433,False,0.0,,,,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,1,stepCountNext4HourLag1,0.4856404988124931,True,0.9155680760540309,0.017114705326001452,28.375627249315567,2.446066687087299e-156,True,True,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,2,yesterdayStepCount,-0.14840074355739588,True,0.9305184467104665,0.021697363710038924,-6.839574869122644,9.668359825155815e-12,True,True,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,3,stepCountLast7DaysEma,0.35805004374456384,True,0.9541055825124899,0.016238829824398383,22.049005231066822,1.1699531347431484e-99,True,True,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,4,prior2HourStepCount,0.09775420319275005,True,0.9354690734630582,0.020107415783335574,4.861599533529605,1.2270897911172086e-06,True,True,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,5,activitySuggestionsSentLast7Days,-0.03794571082479893,True,0.9683021820826819,0.019069340297288427,-1.9898806268717455,0.04669882415075858,True,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,6,activitySuggestionInteractLast7Days,0.03776779062216849,True,0.35347282574711314,0.0528048549028579,0.7152332998859244,0.4745230736514322,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,7,activeDaysLast7Days,0.15875354440084688,True,0.26093816014200455,0.05497221264479323,2.8878871117421436,0.003907413940499401,True,True,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,8,isWeekend,-0.034373435072693755,True,0.36965901744549584,0.03473251113589038,-0.989661672840419,0.3224229415707017,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,9,decisionTimeSlot,-0.06642260117157034,True,0.4970777019576552,0.037195237214646536,-1.7857824319887605,0.07424004349629218,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,10,perceivedUtilityLastWeek,0.021185841929009127,True,2.3615448199539335,0.00880282721973319,2.406708822083556,0.016159798101636667,True,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,11,caeAverageLastWeek,-0.05380755642341104,True,0.9470492313952044,0.02108576896676419,-2.5518422642410425,0.010766903484206114,True,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,12,Ah,-0.1428190863127868,True,0.4999251629199032,0.04822895404138893,-2.961272728208513,0.0030888278018976886,True,True,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,13,Ah*yesterdayStepCount,0.005742502494550388,True,0.6617216878726897,0.02886717050413167,0.19892848499746382,0.8423327778460938,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,14,Ah*prior2HourStepCount,0.010734956580744002,True,0.6557592972464922,0.0282346411108051,0.38020517203017845,0.703821254982897,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,15,Ah*activitySuggestionsSentLast7Days,0.030232842037537924,True,0.6841651717668626,0.026836309200002656,1.1265648272354432,0.2600207028723946,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,16,Ah*activitySuggestionInteractLast7Days,0.08393077681798075,True,0.34367234790414786,0.07482357372797231,1.1217156924783955,0.2620771820458183,False,False,2890,20,1.0,0.47578235996143226
