horizon,day,slot,index,feature,coefficient,residual_sigma2,n_obs
1,1,1,0,intercept,0.3090472995137383,0.000296816011454261,319
1,1,1,1,weekday_vs_weekend,0.0,0.000296816011454261,319
1,1,1,2,slot_pm,0.0,0.000296816011454261,319
1,1,1,3,E_w,-0.022858668756308046,0.000296816011454261,319
1,1,1,4,weekday_vs_weekend*E_w,0.0,0.000296816011454261,319
1,1,1,5,slot_pm*E_w,0.0,0.000296816011454261,319
1,1,1,6,b_hat,0.8613486545892085,0.000296816011454261,319
1,1,1,7,weekday_vs_weekend*b_hat,0.0,0.000296816011454261,319
1,1,1,8,slot_pm*b_hat,0.0,0.000296816011454261,319
1,1,1,9,b_tilde,0.0,0.000296816011454261,319
1,1,1,10,M_Y_day1_fourSC_morning,0.0,0.000296816011454261,319
1,1,1,11,M_Y_day1_fourSC_afternoon,0.0,0.000296816011454261,319
1,1,1,12,M_Y_day1_anticipated_affect,0.0,0.000296816011454261,319
1,1,1,13,M_Y_day2_fourSC_morning,0.0,0.000296816011454261,319
1,1,1,14,M_Y_day2_fourSC_afternoon,0.0,0.000296816011454261,319
1,1,1,15,M_Y_day2_anticipated_affect,0.0,0.000296816011454261,319
1,1,1,16,M_Y_day3_fourSC_morning,0.0,0.000296816011454261,319
1,1,1,17,M_Y_day3_fourSC_afternoon,0.0,0.000296816011454261,319
1,1,1,18,M_Y_day3_anticipated_affect,0.0,0.000296816011454261,319
1,1,1,19,M_Y_day4_fourSC_morning,0.0,0.000296816011454261,319
1,1,1,20,M_Y_day4_fourSC_afternoon,0.0,0.000296816011454261,319
1,1,1,21,M_Y_day4_anticipated_affect,0.0,0.000296816011454261,319
1,1,1,22,M_Y_day5_fourSC_morning,0.0,0.000296816011454261,319
1,1,1,23,M_Y_day5_fourSC_afternoon,0.0,0.000296816011454261,319
1,1,1,24,M_Y_day5_anticipated_affect,0.0,0.000296816011454261,319
1,1,1,25,M_Y_day6_fourSC_morning,0.0,0.000296816011454261,319
1,1,1,26,M_Y_day6_fourSC_afternoon,0.0,0.000296816011454261,319
1,1,1,27,M_Y_day6_anticipated_affect,0.0,0.000296816011454261,319
1,1,1,28,M_E_day1_pageview_morning,0.0,0.000296816011454261,319
1,1,1,29,M_E_day1_pageview_afternoon,0.0,0.000296816011454261,319
1,1,1,30,M_E_day1_morning_fitbit_wear,0.0,0.000296816011454261,319
1,1,1,31,M_E_day1_daily_survey_complete,0.0,0.000296816011454261,319
1,1,1,32,M_E_day2_pageview_morning,0.0,0.000296816011454261,319
1,1,1,33,M_E_day2_pageview_afternoon,0.0,0.000296816011454261,319
1,1,1,34,M_E_day2_morning_fitbit_wear,0.0,0.000296816011454261,319
