prior_family,model,block,index,feature,prior_mean,prior_variance
Joint Modified TD,q_td_modify_joint,eta,0,eta_intercept,0.6155553487993665,0.22976548486845896
Joint Modified TD,q_td_modify_joint,eta,1,eta_E_w,-0.021220394385648045,0.032798892460572354
Joint Modified TD,q_td_modify_joint,eta,2,eta_b_hat,-0.33283211705150284,0.17315128875790534
Joint Modified TD,q_td_modify_joint,eta,3,eta_b_tilde,0.0,1.0
Joint Modified TD,q_td_modify_joint,beta,4,beta_intercept,0.6063785169752004,0.1663464510257224
Joint Modified TD,q_td_modify_joint,beta,5,beta_weekday_vs_weekend,-0.09219928053611977,0.20291622609383786
Joint Modified TD,q_td_modify_joint,beta,6,beta_slot_pm,-0.0013670891503952938,0.004314742931072076
Joint Modified TD,q_td_modify_joint,beta,7,beta_E_w,-0.023113124638778213,0.026775876714624572
Joint Modified TD,q_td_modify_joint,beta,8,beta_b_hat,0.120137882927968,0.12336745105246102
Joint Modified TD,q_td_modify_joint,beta,9,beta_b_tilde,0.0,1.0
Joint Modified TD,q_td_modify_joint,beta,10,beta_M_Y_anticipated_affect_ewma,0.6974175816258943,0.013933386262787489
Joint Modified TD,q_td_modify_joint,beta,11,beta_M_Y_fourSC_ewma,0.05985532258900254,0.011469538635173679
Joint Modified TD,q_td_modify_joint,beta,12,beta_M_E_pageview_ewma,0.005036418319703537,0.001466545563301291
Joint Modified TD,q_td_modify_joint,beta,13,beta_M_E_fitbit_wear_ewma,-0.3428635282505063,0.007014526396399436
Joint Modified TD,q_td_modify_joint,beta,14,beta_M_E_survey_complete_ewma,-0.08283401298554469,0.007047812045311371
Joint Modified TD,q_td_modify_joint,beta,15,beta_yesterday_step_count,0.00921179730849035,0.0008724626219209719
Joint Modified TD,q_td_modify_joint,beta,16,beta_prior2hour_step_count,-0.005131680389055653,0.0006196765052556176
Joint Modified TD,q_td_modify_joint,beta,17,beta_active_status_fraction_7days,-0.047994807261608124,0.05358730374071335
Joint Modified TD,q_td_modify_joint,beta,18,beta_recent_burden,0.002386227622820209,0.001423163671653511
Joint Modified TD,q_td_modify_joint,beta,19,beta_walk_interaction_7d,0.05252553626414627,0.01332393866476925
Joint Modified TD,q_td_modify_joint,beta,20,beta_A,-0.0169560128304769,0.0026267187853549804
Joint Modified TD,q_td_modify_joint,beta,21,beta_A*E_w,-0.002317922325799536,0.0007927233905345311
Joint Modified TD,q_td_modify_joint,beta,22,beta_A*b_hat,-0.06878822368517787,0.0016998375695563184
Joint Modified TD,q_td_modify_joint,beta,23,beta_A*b_tilde,0.0,1.0
Joint Modified TD,q_td_modify_joint,beta,24,beta_A*yesterday_step_count,-0.0008307555469580522,0.0038914261931789172
Joint Modified TD,q_td_modify_joint,beta,25,beta_A*prior2hour_step_count,-0.00293488362993062,0.0011344278840325992
Joint Modified TD,q_td_modify_joint,beta,26,beta_A*active_status_fraction_7days,0.02593209449138864,0.0022610914312605783
Joint Modified TD,q_td_modify_joint,beta,27,beta_A*recent_burden,-0.00261349394666997,0.002672276202578301
Joint Modified TD,q_td_modify_joint,beta,28,beta_A*walk_interaction_7d,0.009648658747039046,0.002891533456515983
