prior_family,model,block,index,feature,prior_mean,prior_variance
PF,fourSC,theta,0,intercept,-0.04828628640186175,0.05805535925062273
PF,fourSC,theta,1,stepCountNext4HourLag1,0.4976395126274131,0.04567337359608708
PF,fourSC,theta,2,yesterdayStepCount,-0.16193230213800275,0.012277998580068896
PF,fourSC,theta,3,stepCountLast7DaysEma,0.4999957477338977,0.03820771761784286
PF,fourSC,theta,4,prior2HourStepCount,0.09924008720805459,0.03686166461337207
PF,fourSC,theta,5,activitySuggestionsSentLast7Days,-0.03789245127649607,0.030239697902922476
PF,fourSC,theta,6,activitySuggestionInteractLast7Days,0.03764402410604591,0.0749242990131104
PF,fourSC,theta,7,activeDaysLast7Days,0.13189752502510868,0.04708788919291407
PF,fourSC,theta,8,isWeekend,-0.03663849148237694,0.05173348006612524
PF,fourSC,theta,9,decisionTimeSlot,-0.03896969296944357,0.15848629290871155
PF,fourSC,theta,10,perceivedUtilityLastWeek,0.0178637843754874,0.015846097172464726
PF,fourSC,theta,11,caeAverageLastWeek,-0.05276183635468103,0.10944518303369799
PF,fourSC,theta,12,Ah,-0.1090309647169416,0.07028969826922082
PF,fourSC,theta,13,Ah*yesterdayStepCount,-0.0021721947687513253,0.021198862967719452
PF,fourSC,theta,14,Ah*prior2HourStepCount,0.010920497774474795,0.025854831066908047
PF,fourSC,theta,15,Ah*activitySuggestionsSentLast7Days,0.02874786251284949,0.027249396336622073
PF,fourSC,theta,16,Ah*activitySuggestionInteractLast7Days,0.11016891291674485,0.11903629559252228
PF,fourSC,theta,17,Ah*perceivedUtilityLastWeek,0.007229912040090763,0.025150883044222704
PF,fourSC,theta,18,Ah*caeAverageLastWeek,-0.004543656287480886,0.10123803000429345
PF,antic,theta,0,intercept,0.42212886194236493,0.013421020357532853
PF,antic,theta,1,anticipated_affect_yesterday,0.21861272948968957,0.005262664792194243
PF,antic,theta,2,active_status_fraction_7days,0.07572715170360657,0.008607681535269718
PF,antic,theta,3,is_weekend,-0.028076805191113097,0.0047739192603168945
PF,antic,theta,4,perceived_utility_lastweek,0.007742706258968858,0.00973767454597463
PF,antic,theta,5,CAE_avg_lastweek,0.23625342353557016,0.006699085234639284
PF,antic,theta,6,recent_burden,0.014369104293451097,0.004007510947217398
PF,antic,theta,7,A0_morning,0.0042518406501235815,0.0026807589596547997
PF,antic,theta,8,A1_afternoon,0.0141415958818053,0.001403412057331122
PF,antic,theta,9,A0_morning_by_perceived_utility_lastweek,-0.0014641408740621365,0.001329361652964145
PF,antic,theta,10,A1_afternoon_by_perceived_utility_lastweek,-0.0014889522318314013,0.0007193734859595314
PF,antic,theta,11,A0_morning_by_CAE_avg_lastweek,-0.004550873275500334,0.005763866826233339
PF,antic,theta,12,A1_afternoon_by_CAE_avg_lastweek,-0.02755223990613235,0.0028111255390376256
PF,antic,theta,13,A0_morning_by_recent_burden,-0.009632125781804545,0.001321093551774937
PF,antic,theta,14,A1_afternoon_by_recent_burden,-0.003091377168479358,0.00423673362372104
PF,CAE,theta,0,intercept,-0.1254134954558861,0.08664774894950425
PF,CAE,theta,1,CAE_avg_lastweek,0.8834422163666366,0.05984707130637981
PF,CAE,theta,2,fourSC_ewma,-0.03334084158719732,0.014974754281319103
PF,CAE,theta,3,anticipated_affect_ewma,0.17500711845601827,0.01982258524486836
PF,CAE_short,theta,0,intercept,0.01000548046230646,0.06387633511188476
PF,CAE_short,theta,1,caeAverage,0.9758944447082235,0.06379467019549769
