model,outcome,index,feature,coefficient,identified,feature_std,std_error,t_stat,p_value,significant_0.05,significant_0.01,n_obs,n_features,ridge_alpha,residual_sigma2
fourSC,4hour_step_norm,0,intercept,-0.032248269002633535,False,0.0,,,,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,1,stepCountNext4HourLag1,0.4633896997619591,True,0.9248606712948804,0.015212316128161001,30.46148238427239,3.9634488651769054e-182,True,True,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,2,yesterdayStepCount,-0.12708467922615532,True,0.9481129622160918,0.01929637241071987,-6.585936284871603,5.154723550259234e-11,True,True,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,3,stepCountLast7DaysEma,0.36935440644005874,True,1.0050436522320472,0.01381507465566713,26.73560698338641,3.552898060245626e-144,True,True,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,4,prior2HourStepCount,0.13168663307798767,True,0.9411700095599597,0.018982754208477965,6.937172110629477,4.698360723712082e-12,True,True,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,5,activitySuggestionsSentLast7Days,-0.025905679519586777,True,0.9674036079017602,0.017650634621092225,-1.4676911100199144,0.14227277796997678,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,6,activitySuggestionInteractLast7Days,0.024006158011504467,True,0.347379528192395,0.05432441999798941,0.44190362294513136,0.6585846634553781,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,7,activeDaysLast7Days,0.10798896479606386,True,0.2774331076263382,0.04477827401221623,2.411637500065383,0.015929251367698495,True,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,8,isWeekend,-0.04679859529819121,True,0.36445708760893925,0.03245292256021258,-1.4420456342987884,0.1493737716641114,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,9,decisionTimeSlot,-0.10215865080645214,True,0.4981730177142218,0.02590466471907869,-3.9436391829156805,8.17342301674627e-05,True,True,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,10,perceivedUtilityLastWeek,0.03356787864714115,True,1.9670835112880787,0.009689676001737396,3.464293196296997,0.0005376369594760407,True,True,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,11,caeAverageLastWeek,-0.05337605109439218,True,0.9920532194480507,0.017182647884933077,-3.1063926498311103,0.0019081364585267668,True,True,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,12,Ah,-0.0699065384477913,True,0.49977111617757736,0.04096411152224236,-1.706531298984332,0.08799275559683437,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,13,Ah*yesterdayStepCount,0.005825729460058891,True,0.6726387509282356,0.02591174199388193,0.22482971084824846,0.8221241136339861,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,14,Ah*prior2HourStepCount,0.017884114699156312,True,0.6666991537663832,0.026222103278253903,0.6820244169348414,0.4952660184521186,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,15,Ah*activitySuggestionsSentLast7Days,0.02394482244927802,True,0.6886273140575669,0.024696514472628602,0.9695628294355589,0.3323275491933396,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,16,Ah*activitySuggestionInteractLast7Days,0.04847703333818182,True,0.3496843216037642,0.07593085804688775,0.6384365274556356,0.5232289028973848,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,17,Ah*perceivedUtilityLastWeek,0.020124098170055282,True,1.4709225142588411,0.013702747199323476,1.468617779874742,0.14202113217003953,False,False,3735,19,1.0,0.5212802025640237
fourSC,4hour_step_norm,18,Ah*caeAverageLastWeek,0.030309285178883774,True,0.6927547161973083,0.02423548682625472,1.2506159004014394,0.21115338654122967,False,False,3735,19,1.0,0.5212802025640237
antic,anticipated_affect_norm,0,intercept,0.4728892341381289,False,0.0,,,,False,False,1019,15,1.0,0.036552808020881705
antic,anticipated_affect_norm,1,anticipated_affect_yesterday,0.15704781862589068,True,0.36621022429244027,0.01978581040819314,7.9373963151319025,5.4962470327546556e-15,True,True,1019,15,1.0,0.036552808020881705
antic,anticipated_affect_norm,2,active_status_fraction_7days,0.06486555635636569,True,0.2297835254024321,0.0280274943407146,2.314354453802803,0.02084935160268449,True,False,1019,15,1.0,0.036552808020881705
antic,anticipated_affect_norm,3,is_weekend,-0.01899647892560461,True,0.36656964634704314,0.01644854909868993,-1.1549030137325373,0.24840493999589514,False,False,1019,15,1.0,0.036552808020881705
antic,anticipated_affect_norm,4,perceived_utility_lastweek,-0.0039413482753185925,True,1.6218968227313628,0.006164310912829103,-0.6393818110497796,0.522720429901018,False,False,1019,15,1.0,0.036552808020881705
antic,anticipated_affect_norm,5,CAE_avg_lastweek,0.25286562110647054,True,0.9285511473294334,0.012140216343175601,20.82875740913911,2.2920262757906994e-80,True,True,1019,15,1.0,0.036552808020881705
