prior_family,model,block,index,feature,prior_mean,prior_variance
RL,reward_shaping,eta,0,intercept,-0.04915680035513729,0.026333432141580803
RL,reward_shaping,eta,1,weekday_vs_weekend,-0.008192800059289991,0.0007314842261548295
RL,reward_shaping,eta,2,slot_pm,-0.024578400177711256,0.006583358035397743
RL,reward_shaping,eta,3,E_w,0.0677375519354014,0.00277211681718775
RL,reward_shaping,eta,4,b_hat,0.06204962881068818,0.04457846999856032
RL,reward_shaping,eta,5,b_tilde,0.0,1.0
RL,reward_shaping,eta,6,M_Y_anticipated_affect_ewma,0.07524541217211572,0.008477070218769296
RL,reward_shaping,eta,7,M_Y_fourSC_ewma,0.009536971926437085,0.024468242132432136
RL,reward_shaping,eta,8,M_E_pageview_ewma,-0.008676380553784915,0.0038164423783974256
RL,reward_shaping,eta,9,M_E_fitbit_wear_ewma,-0.011294137750690028,0.0072400130558995125
RL,reward_shaping,eta,10,M_E_survey_complete_ewma,0.006703680094162555,0.013046978082958642
RL,reward_shaping,eta,11,yesterday_step_count,-0.0032677285046973942,0.015238339833425847
RL,reward_shaping,eta,12,prior2hour_step_count,-0.017366465615203625,0.005625370969433043
RL,reward_shaping,eta,13,active_status_fraction_7days,0.006740182958956378,0.03975678572621918
RL,reward_shaping,eta,14,recent_burden,-0.0009655072469725769,0.004391722387771466
RL,reward_shaping,eta,15,walk_interaction_7d,0.012112158453730057,0.03514642890845032
