prior_family,model,block,index,feature,prior_mean,prior_variance
RL,q_no_td_modify,beta,0,intercept,0.14684952759476114,0.08232967619010781
RL,q_no_td_modify,beta,1,weekday_vs_weekend,-0.05556394985444864,0.08324889232384554
RL,q_no_td_modify,beta,2,slot_pm,-0.0035399028952494953,0.0019979690584956433
RL,q_no_td_modify,beta,3,E_w,-0.0023295625318177026,0.02940121857279636
RL,q_no_td_modify,beta,4,b_hat,1.2240831199782185,0.07507632010303435
RL,q_no_td_modify,beta,5,b_tilde,0.0,1.0
RL,q_no_td_modify,beta,6,M_Y_anticipated_affect_ewma,0.20850940597569,0.006122988673259958
RL,q_no_td_modify,beta,7,M_Y_fourSC_ewma,0.0007322111273914109,0.005517876069541385
RL,q_no_td_modify,beta,8,M_E_pageview_ewma,0.0016596953306089507,0.00025569136572720536
RL,q_no_td_modify,beta,9,M_E_fitbit_wear_ewma,-0.10683856003840465,0.0029435609582081908
RL,q_no_td_modify,beta,10,M_E_survey_complete_ewma,-0.035124501212506765,0.004230906313484309
RL,q_no_td_modify,beta,11,yesterday_step_count,0.004655810800288906,0.0008566640028245117
RL,q_no_td_modify,beta,12,prior2hour_step_count,-0.00807695170590325,0.0006354119159354574
RL,q_no_td_modify,beta,13,active_status_fraction_7days,-0.02833160914189099,0.029068233675466747
RL,q_no_td_modify,beta,14,recent_burden,0.0008999123178649032,0.002104463535453822
RL,q_no_td_modify,beta,15,walk_interaction_7d,-0.04978376020544139,0.0203347823549725
RL,q_no_td_modify,beta,16,A,-0.002464602838161312,0.0012565973247698047
RL,q_no_td_modify,beta,17,A*E_w,0.0004693945846285743,0.0009344538534468411
RL,q_no_td_modify,beta,18,A*b_hat,-0.006915325571965655,0.0017624521328995944
RL,q_no_td_modify,beta,19,A*b_tilde,0.0,1.0
RL,q_no_td_modify,beta,20,A*yesterday_step_count,-0.00878985974425295,0.002016419626286257
RL,q_no_td_modify,beta,21,A*prior2hour_step_count,0.005101554228761128,0.0009805562680019289
RL,q_no_td_modify,beta,22,A*active_status_fraction_7days,0.006566172483634038,0.0010454034973558018
RL,q_no_td_modify,beta,23,A*recent_burden,-0.0027872053652194763,0.0007401016995594602
RL,q_no_td_modify,beta,24,A*walk_interaction_7d,-0.0003571265980038425,0.0015368282822323651
