Running experiment.py on holy7c18104.rc.fas.harvard.edu
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running all seeds: 100 experiments
  Experiment 0, draw 1/100, user 251, exp_seed 0, draw_seed 2968811710 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 0, draw_seed 3964924996 ... CAE means: micro_g0=-0.337, micro_g05=-0.366, mtd_g0=-0.361, mtd_g05=-0.363, rs_g0=-0.363, rs_g05=-0.353, rs_mtd_g0=-0.363, rs_mtd_g05=-0.363, never_send=-0.351, always_send=-0.375, random_send=-0.356
  Experiment 0, draw 3/100, user 188, exp_seed 0, draw_seed 3141116543 ... CAE means: micro_g0=0.935, micro_g05=0.942, mtd_g0=0.956, mtd_g05=0.948, rs_g0=0.936, rs_g05=0.936, rs_mtd_g0=0.928, rs_mtd_g05=0.937, never_send=0.864, always_send=0.912, random_send=0.856
  Experiment 0, draw 4/100, user 151, exp_seed 0, draw_seed 2613022947 ... CAE means: micro_g0=0.719, micro_g05=0.728, mtd_g0=0.703, mtd_g05=0.690, rs_g0=0.691, rs_g05=0.720, rs_mtd_g0=0.695, rs_mtd_g05=0.708, never_send=0.620, always_send=0.815, random_send=0.700
  Experiment 0, draw 5/100, user 151, exp_seed 0, draw_seed 1874364848 ... CAE means: micro_g0=0.733, micro_g05=0.763, mtd_g0=0.704, mtd_g05=0.705, rs_g0=0.733, rs_g05=0.736, rs_mtd_g0=0.720, rs_mtd_g05=0.708, never_send=0.627, always_send=0.834, random_send=0.706
  Experiment 0, draw 6/100, user 118, exp_seed 0, draw_seed 161328693 ... CAE means: micro_g0=-0.157, micro_g05=-0.157, mtd_g0=-0.154, mtd_g05=-0.157, rs_g0=-0.156, rs_g05=-0.156, rs_mtd_g0=-0.158, rs_mtd_g05=-0.155, never_send=-0.160, always_send=-0.151, random_send=-0.158
  Experiment 0, draw 7/100, user 138, exp_seed 0, draw_seed 2617721224 ... CAE means: micro_g0=-0.657, micro_g05=-0.694, mtd_g0=-0.669, mtd_g05=-0.672, rs_g0=-0.657, rs_g05=-0.705, rs_mtd_g0=-0.687, rs_mtd_g05=-0.691, never_send=-0.680, always_send=-0.686, random_send=-0.691
  Experiment 0, draw 8/100, user 118, exp_seed 0, draw_seed 1369798745 ... CAE means: micro_g0=-0.150, micro_g05=-0.152, mtd_g0=-0.155, mtd_g05=-0.152, rs_g0=-0.148, rs_g05=-0.152, rs_mtd_g0=-0.154, rs_mtd_g05=-0.149, never_send=-0.154, always_send=-0.147, random_send=-0.153
  Experiment 0, draw 9/100, user 141, exp_seed 0, draw_seed 3026431988 ... CAE means: micro_g0=0.574, micro_g05=0.565, mtd_g0=0.566, mtd_g05=0.558, rs_g0=0.572, rs_g05=0.551, rs_mtd_g0=0.562, rs_mtd_g05=0.574, never_send=0.637, always_send=0.534, random_send=0.571
  Experiment 0, draw 10/100, user 251, exp_seed 0, draw_seed 2214077229 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 0, draw_seed 3587916967 ... CAE means: micro_g0=-0.363, micro_g05=-0.363, mtd_g0=-0.357, mtd_g05=-0.362, rs_g0=-0.356, rs_g05=-0.360, rs_mtd_g0=-0.361, rs_mtd_g05=-0.353, never_send=-0.349, always_send=-0.375, random_send=-0.351
