Host: holy7c18103.rc.fas.harvard.edu
Job ID: 21999820  Task ID: 35
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 35: seed=34 (N_EXPERIMENTS=100)
  Experiment 0, draw 1/100, user 251, exp_seed 34, draw_seed 2378112021 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 2/100, user 204, exp_seed 34, draw_seed 1298869228 ... CAE means: micro_g0=-0.372, micro_g05=-0.364, mtd_g0=-0.359, mtd_g05=-0.369, rs_g0=-0.370, rs_g05=-0.371, rs_mtd_g0=-0.369, rs_mtd_g05=-0.361, never_send=-0.358, always_send=-0.383, random_send=-0.359
  Experiment 0, draw 3/100, user 188, exp_seed 34, draw_seed 3683874381 ... CAE means: micro_g0=0.959, micro_g05=0.905, mtd_g0=0.892, mtd_g05=0.957, rs_g0=0.937, rs_g05=0.935, rs_mtd_g0=0.952, rs_mtd_g05=0.828, never_send=0.864, always_send=0.907, random_send=0.883
  Experiment 0, draw 4/100, user 151, exp_seed 34, draw_seed 2671121393 ... CAE means: micro_g0=0.741, micro_g05=0.715, mtd_g0=0.726, mtd_g05=0.726, rs_g0=0.755, rs_g05=0.738, rs_mtd_g0=0.699, rs_mtd_g05=0.726, never_send=0.621, always_send=0.823, random_send=0.685
  Experiment 0, draw 5/100, user 151, exp_seed 34, draw_seed 3972730698 ... CAE means: micro_g0=0.733, micro_g05=0.708, mtd_g0=0.730, mtd_g05=0.743, rs_g0=0.706, rs_g05=0.724, rs_mtd_g0=0.715, rs_mtd_g05=0.677, never_send=0.626, always_send=0.816, random_send=0.710
  Experiment 0, draw 6/100, user 118, exp_seed 34, draw_seed 208936486 ... CAE means: micro_g0=-0.150, micro_g05=-0.151, mtd_g0=-0.151, mtd_g05=-0.150, rs_g0=-0.150, rs_g05=-0.150, rs_mtd_g0=-0.149, rs_mtd_g05=-0.153, never_send=-0.153, always_send=-0.144, random_send=-0.151
  Experiment 0, draw 7/100, user 138, exp_seed 34, draw_seed 1905501860 ... CAE means: micro_g0=-0.693, micro_g05=-0.676, mtd_g0=-0.721, mtd_g05=-0.702, rs_g0=-0.846, rs_g05=-0.654, rs_mtd_g0=-0.745, rs_mtd_g05=-0.698, never_send=-0.695, always_send=-0.694, random_send=-0.685
  Experiment 0, draw 8/100, user 118, exp_seed 34, draw_seed 2656199984 ... CAE means: micro_g0=-0.155, micro_g05=-0.154, mtd_g0=-0.153, mtd_g05=-0.152, rs_g0=-0.152, rs_g05=-0.156, rs_mtd_g0=-0.152, rs_mtd_g05=-0.157, never_send=-0.156, always_send=-0.145, random_send=-0.154
  Experiment 0, draw 9/100, user 141, exp_seed 34, draw_seed 1733238886 ... CAE means: micro_g0=0.593, micro_g05=0.567, mtd_g0=0.592, mtd_g05=0.582, rs_g0=0.591, rs_g05=0.581, rs_mtd_g0=0.559, rs_mtd_g05=0.573, never_send=0.650, always_send=0.529, random_send=0.574
  Experiment 0, draw 10/100, user 251, exp_seed 34, draw_seed 732819599 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 11/100, user 204, exp_seed 34, draw_seed 2638058457 ... CAE means: micro_g0=-0.361, micro_g05=-0.363, mtd_g0=-0.362, mtd_g05=-0.364, rs_g0=-0.362, rs_g05=-0.363, rs_mtd_g0=-0.361, rs_mtd_g05=-0.366, never_send=-0.356, always_send=-0.380, random_send=-0.356
  Experiment 0, draw 12/100, user 252, exp_seed 34, draw_seed 1558130729 ... CAE means: micro_g0=0.210, micro_g05=0.209, mtd_g0=0.216, mtd_g05=0.217, rs_g0=0.211, rs_g05=0.207, rs_mtd_g0=0.214, rs_mtd_g05=0.217, never_send=0.213, always_send=0.197, random_send=0.214
  Experiment 0, draw 13/100, user 188, exp_seed 34, draw_seed 3625841154 ... CAE means: micro_g0=0.976, micro_g05=0.965, mtd_g0=0.960, mtd_g05=0.986, rs_g0=0.883, rs_g05=0.975, rs_mtd_g0=0.981, rs_mtd_g05=0.938, never_send=0.894, always_send=0.924, random_send=0.889
  Experiment 0, draw 14/100, user 195, exp_seed 34, draw_seed 712239916 ... CAE means: micro_g0=0.266, micro_g05=0.261, mtd_g0=0.249, mtd_g05=0.301, rs_g0=0.258, rs_g05=0.250, rs_mtd_g0=0.280, rs_mtd_g05=0.263, never_send=0.252, always_send=0.256, random_send=0.261
  Experiment 0, draw 15/100, user 257, exp_seed 34, draw_seed 2896896048 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 16/100, user 225, exp_seed 34, draw_seed 1552098380 ... CAE means: micro_g0=0.527, micro_g05=0.505, mtd_g0=0.543, mtd_g05=0.530, rs_g0=0.510, rs_g05=0.530, rs_mtd_g0=0.510, rs_mtd_g05=0.503, never_send=0.463, always_send=0.536, random_send=0.497
  Experiment 0, draw 17/100, user 204, exp_seed 34, draw_seed 753851853 ... CAE means: micro_g0=-0.364, micro_g05=-0.366, mtd_g0=-0.359, mtd_g05=-0.363, rs_g0=-0.363, rs_g05=-0.367, rs_mtd_g0=-0.361, rs_mtd_g05=-0.361, never_send=-0.355, always_send=-0.377, random_send=-0.355
  Experiment 0, draw 18/100, user 188, exp_seed 34, draw_seed 2580065315 ... CAE means: micro_g0=0.974, micro_g05=0.982, mtd_g0=0.969, mtd_g05=0.955, rs_g0=0.968, rs_g05=0.965, rs_mtd_g0=0.983, rs_mtd_g05=0.978, never_send=0.870, always_send=0.926, random_send=0.887
  Experiment 0, draw 19/100, user 188, exp_seed 34, draw_seed 899769560 ... CAE means: micro_g0=0.925, micro_g05=0.912, mtd_g0=0.930, mtd_g05=0.954, rs_g0=0.946, rs_g05=0.940, rs_mtd_g0=0.916, rs_mtd_g05=0.951, never_send=0.821, always_send=0.915, random_send=0.841
  Experiment 0, draw 20/100, user 252, exp_seed 34, draw_seed 3240335769 ... CAE means: micro_g0=0.215, micro_g05=0.210, mtd_g0=0.214, mtd_g05=0.215, rs_g0=0.214, rs_g05=0.203, rs_mtd_g0=0.211, rs_mtd_g05=0.209, never_send=0.214, always_send=0.193, random_send=0.211
  Experiment 0, draw 21/100, user 151, exp_seed 34, draw_seed 1631749502 ... CAE means: micro_g0=0.733, micro_g05=0.706, mtd_g0=0.723, mtd_g05=0.699, rs_g0=0.720, rs_g05=0.715, rs_mtd_g0=0.704, rs_mtd_g05=0.751, never_send=0.628, always_send=0.824, random_send=0.714
  Experiment 0, draw 22/100, user 251, exp_seed 34, draw_seed 423393398 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 23/100, user 204, exp_seed 34, draw_seed 4097325813 ... CAE means: micro_g0=-0.361, micro_g05=-0.360, mtd_g0=-0.357, mtd_g05=-0.363, rs_g0=-0.356, rs_g05=-0.360, rs_mtd_g0=-0.356, rs_mtd_g05=-0.348, never_send=-0.351, always_send=-0.376, random_send=-0.351
  Experiment 0, draw 24/100, user 118, exp_seed 34, draw_seed 3900552503 ... CAE means: micro_g0=-0.159, micro_g05=-0.156, mtd_g0=-0.160, mtd_g05=-0.157, rs_g0=-0.161, rs_g05=-0.161, rs_mtd_g0=-0.159, rs_mtd_g05=-0.163, never_send=-0.161, always_send=-0.148, random_send=-0.158
  Experiment 0, draw 25/100, user 170, exp_seed 34, draw_seed 3383005215 ... CAE means: micro_g0=0.481, micro_g05=0.471, mtd_g0=0.483, mtd_g05=0.481, rs_g0=0.483, rs_g05=0.472, rs_mtd_g0=0.469, rs_mtd_g05=0.477, never_send=0.463, always_send=0.477, random_send=0.480
  Experiment 0, draw 26/100, user 251, exp_seed 34, draw_seed 3310646077 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 27/100, user 188, exp_seed 34, draw_seed 2287378064 ... CAE means: micro_g0=0.958, micro_g05=0.948, mtd_g0=0.753, mtd_g05=0.907, rs_g0=0.934, rs_g05=0.966, rs_mtd_g0=0.923, rs_mtd_g05=0.879, never_send=0.858, always_send=0.893, random_send=0.855
  Experiment 0, draw 28/100, user 118, exp_seed 34, draw_seed 3778168300 ... CAE means: micro_g0=-0.151, micro_g05=-0.152, mtd_g0=-0.153, mtd_g05=-0.152, rs_g0=-0.155, rs_g05=-0.154, rs_mtd_g0=-0.153, rs_mtd_g05=-0.154, never_send=-0.155, always_send=-0.148, random_send=-0.156
  Experiment 0, draw 29/100, user 239, exp_seed 34, draw_seed 2983814448 ... CAE means: micro_g0=-2.752, micro_g05=-2.731, mtd_g0=-2.731, mtd_g05=-2.729, rs_g0=-2.738, rs_g05=-2.713, rs_mtd_g0=-2.739, rs_mtd_g05=-2.719, never_send=-2.670, always_send=-2.736, random_send=-2.731
  Experiment 0, draw 30/100, user 225, exp_seed 34, draw_seed 246498681 ... CAE means: micro_g0=0.519, micro_g05=0.508, mtd_g0=0.507, mtd_g05=0.506, rs_g0=0.509, rs_g05=0.504, rs_mtd_g0=0.510, rs_mtd_g05=0.506, never_send=0.467, always_send=0.507, random_send=0.496
  Experiment 0, draw 31/100, user 251, exp_seed 34, draw_seed 4170410162 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
